Close/Last,Open,High,Low
283.4,285.29,287.8,280.46
285.78,288.96,289.5,282.46
288.85,290.05,291.13,284.6128
285.71,288.99,289.73,284.5
291.51,285.22,292.2,283.5
286.8,278.255,287.55,277.31
275.62,276.51,278.59,272.4
278.02,278.4,283.67,274.72
282.1,286.8,288.3599,280.83
289.1,278.4,290.5844,277.8
277.49,272.25,277.58,270.7148
272.26,273.63,274.95,266.2501
269.56,270.02,273.3,267.051
262.41,270.78,272.47,262.25
270.42,270.13,273.6599,266.7101
271.19,269.52,271.83,267.22
271.04,276.71,280.3,270.0
279.31,273.61,280.0,272.32
276.67,275.335,281.1,273.57
270.02,265.655,270.06,264.3318
267.58,265.04,268.83,262.2
264.63,267.34,268.869,263.29
264.95,273.7,274.6799,264.475
271.69,277.235,277.9,271.26
275.79,268.23,276.2099,266.69
270.37,265.84,270.8,264.27
268.81,268.29,269.98,263.95
274.53,279.66,280.0,273.07
279.65,275.09,280.0,273.36
277.77,271.4,278.3431,271.05
273.83,272.29,274.99,271.02
269.84,268.25,270.78,265.97
264.1,264.47,265.13,258.5
265.31,268.37,270.0,263.65
267.79,270.31,271.67,263.55
271.91,271.155,274.99,266.9
264.68,264.25,275.89,262.37
261.99,261.8,263.92,253.81
259.0,256.15,260.24,251.2983
257.25,259.82,263.99,256.68
255.41,240.27,255.88,238.94
242.28,237.61,242.86,233.6
240.63,234.96,242.19,234.6
229.66,227.52,232.98,222.97
229.65,234.09,236.27,227.26
234.36,241.75,244.54,233.8284
241.81,234.87,242.0,234.235
232.88,236.0,241.25,232.41
235.54,238.91,242.48,234.87
238.9,233.2,239.0,231.3
233.14,224.88,233.804,224.32
226.98,231.92,232.5557,225.08
232.16,233.72,238.25,232.06
235.01,236.7,238.7994,234.54
232.86,232.25,234.74,229.47
236.64,234.4,238.88,230.25
207.54,207.07,211.04,204.21
206.55,210.0,214.938,206.18
213.88,216.31,217.4,209.75
220.02,221.33,225.5,219.268
227.64,225.49,228.55,221.06
229.71,215.78,230.488,213.66
217.88,215.38,220.48,209.62
212.65,216.9,220.7764,208.11
223.37,226.06,230.2,221.2
222.05,223.87,228.78,220.0801
221.73,213.82,222.59,211.5
210.89,208.06,215.7,207.86
211.0,210.0,217.4499,207.89
217.09,210.0,219.49,207.0
209.43,196.91,211.92,196.11
195.37,191.695,196.87,189.5
191.62,199.5,201.4,191.5
203.65,194.62,206.28,194.05
198.02,197.01,201.66,192.78
193.23,189.125,193.7,185.8
192.65,188.27,194.95,188.2
191.93,180.64,192.45,178.175
178.39,170.11,178.56,168.25
167.65,170.36,171.97,167.31
173.77,176.67,178.73,172.82
177.02,168.99,177.28,168.99
168.99,162.78,169.22,161.65
165.11,161.0,166.37,154.92
160.01,158.395,160.28,155.63
159.09,155.07,159.6199,154.72
156.28,152.84,160.56,151.41
148.59,144.74,150.1,140.34
142.65,144.91,145.64,141.4795
147.49,145.67,148.53,142.41
143.15,148.51,149.96,140.96
146.14,143.34,146.2899,142.33
146.03,144.02,146.83,142.27
140.36,139.27,142.62,138.84
141.21,150.74,151.0,140.56
152.06,151.96,153.39,148.83
153.39,160.935,161.38,148.82
165.01,161.14,166.27,161.02
160.85,160.64,163.1,158.52
162.54,165.72,166.09,161.45
165.71,168.642,170.41,164.1
169.52,171.46,173.2,167.0
176.74,179.87,182.52,174.2
180.72,185.31,187.9,177.11
175.35,170.37,175.38,167.97
170.01,171.6,175.83,169.75
171.69,162.73,171.79,159.59
161.2,157.72,161.86,156.67
159.87,165.3,165.73,158.19
166.1,166.79,169.95,164.7201
168.76,166.59,169.3257,164.45
171.35,169.99,172.65,166.35
169.23,156.97,169.3,155.97
156.39,158.27,159.32,155.2
158.27,160.26,163.57,157.25
162.7,163.18,164.87,161.72
165.19,160.98,165.27,160.4801
160.38,153.28,160.5757,151.216
153.17,151.47,154.77,150.8
154.09,159.66,160.02,151.2001
156.77,157.15,162.66,155.35
159.1,161.615,163.62,158.73
166.66,167.215,169.98,163.82
162.95,162.18,165.4,159.22
163.27,158.075,163.89,154.82
157.5,148.0,157.73,145.47
137.76,141.615,142.11,137.5901
146.02,148.01,148.9101,142.16
143.01,142.28,144.12,139.54
141.56,139.86,142.29,136.97
134.21,130.43,137.81,129.56
132.19,138.5,142.1,132.1124
135.43,138.11,139.25,135.19
134.97,137.78,138.38,132.97
138.34,131.04,138.5,130.61
131.76,136.3,138.38,131.22
128.96,128.69,133.88,127.08
132.61,126.935,133.0,126.64
125.99,125.08,127.1,120.64
124.66,120.982,124.98,118.87
121.94,121.13,127.69,121.05
120.51,118.79,123.5,118.34
119.67,123.44,124.92,116.18
118.88,115.18,119.48,115.17
112.27,120.57,121.11,112.04
119.6,109.71,120.7799,108.13
115.0,115.79,117.35,113.45
115.86,115.61,118.46,112.83
116.7,120.37,121.2432,114.0812
120.76,125.05,126.7,120.22
131.3,132.2,136.56,131.03
132.09,129.107,133.21,126.21
131.67,128.79,132.2,128.79
125.12,123.47,126.78,121.05
121.39,120.87,126.33,120.75
122.2,124.48,125.0,119.4601
127.36,124.1,128.23,123.5386
124.13,125.07,127.36,122.58
122.28,124.91,126.59,122.14
125.16,124.2,126.11,122.57
125.61,130.7,131.4897,124.28
132.61,132.13,140.31,131.1
131.76,132.145,134.8276,130.57
133.82,130.12,134.63,130.1
131.98,127.415,132.12,126.17
129.29,130.152,132.3299,127.9
131.28,132.54,132.8999,129.13
131.31,138.02,139.22,130.99
145.05,143.69,145.47,141.98
143.87,141.57,144.74,141.26
139.9,134.59,140.08,133.69
137.14,135.63,138.38,133.46
134.65,137.31,137.79,133.51
136.47,141.0,141.71,135.91
139.37,142.09,143.8,132.7021
150.94,153.84,155.4,149.5851
154.68,159.6,160.39,151.82
158.01,160.2,163.38,157.67
162.6,178.57,179.24,162.37
179.13,168.44,179.47,168.33
172.22,170.12,174.06,168.95
171.81,169.885,174.65,169.7
170.34,174.9,175.58,169.66
178.49,184.06,185.2,177.7
187.73,183.01,188.6499,181.83
183.35,185.23,186.88,181.45
188.79,189.195,191.42,185.01
190.32,187.01,191.64,186.13
187.09,181.6,187.18,179.53
179.42,181.31,187.07,178.76
180.97,176.98,181.18,173.1701
170.86,172.52,174.4719,167.24
177.93,175.02,182.39,172.42
189.89,188.1,192.2892,186.66
192.15,188.49,192.74,187.6
188.93,181.84,189.68,181.37
185.26,181.22,189.3753,180.92
184.41,181.82,188.46,179.9
181.63,178.13,182.44,176.92
179.84,179.75,181.4,174.4
177.9,170.32,179.36,169.1301
165.33,168.89,169.19,164.78
170.24,170.19,171.24,166.49
173.19,178.93,179.67,171.365
180.5,178.85,181.44,175.4456
178.07,169.47,179.325,168.01
169.92,164.86,171.1,161.7201
161.01,163.02,168.97,160.02
157.62,156.59,157.82,154.45
153.72,151.08,154.7299,147.28
151.64,145.9,153.75,144.65
150.82,152.68,154.31,148.77
151.52,155.26,155.2699,150.3801
158.38,154.3,160.3699,153.89
158.58,154.555,159.45,153.89
151.3,150.1,153.1899,147.89
149.64,141.75,149.71,140.55
145.23,148.99,150.6291,143.92
151.59,153.61,155.67,148.62
155.42,158.14,158.2,151.7
159.82,169.0,172.0199,159.45
168.69,173.12,173.3,166.255
171.26,165.0,171.4,163.1
162.25,165.185,165.85,158.53
163.6,162.26,166.62,161.8
165.66,164.745,170.08,164.07
158.8,156.48,159.95,153.28
156.01,158.6,159.4232,154.01
165.27,160.95,168.68,159.26
158.36,157.31,160.66,154.12
156.47,160.0,163.12,156.06
169.74,176.0,176.97,168.69
180.48,184.81,189.33,180.41
186.48,187.99,191.8,185.35
189.26,184.72,190.0,181.88
187.86,191.39,193.37,185.642
187.2,190.815,193.323,185.2156
195.92,182.92,196.19,181.98
183.2,187.24,190.5318,181.22
186.72,189.8,192.0,183.5
188.11,181.86,188.81,181.0
178.51,160.36,180.92,160.22
169.75,160.2,171.1099,160.0
161.54,165.1,165.97,157.8
168.98,162.74,169.15,161.7901
166.94,173.32,174.1,157.55
171.24,169.37,176.87,167.3405
169.38,177.05,181.18,168.64
181.77,180.74,183.71,176.34
172.64,175.09,177.88,171.06
177.06,167.88,179.2843,165.925
161.75,162.191,167.88,155.67
166.3,173.47,177.53,165.68
175.95,176.89,181.98,170.25
169.5,180.34,182.55,168.27
186.75,187.36,195.12,179.9
188.44,198.67,199.25,185.0
203.34,199.23,204.0,187.51
196.02,194.0,198.25,191.33
195.33,185.405,195.74,183.91
185.47,194.02,201.2848,185.17
197.82,189.67,200.37,184.8957
184.15,185.98,191.67,182.9
187.88,197.18,197.88,186.7
199.02,192.02,199.45,190.96
195.15,203.03,204.86,195.0
201.83,217.092,223.92,200.0
214.82,225.171,226.7037,212.0
221.98,217.2,223.73,213.14
217.83,212.0,220.88,210.79
212.58,225.05,227.77,211.63
222.03,217.28,225.0,214.55
215.04,225.37,227.25,212.8204
219.17,222.14,223.1994,216.6
231.19,239.17,239.23,230.6201
242.08,244.41,247.22,234.78
244.07,249.34,253.0,240.03
259.31,272.54,273.19,258.2
273.6,267.28,275.58,266.13
267.12,273.75,274.96,262.67
272.86,277.82,282.48,272.7
276.9,283.04,284.955,275.03
286.56,286.945,289.46,279.8
282.19,277.555,282.5,272.06
276.92,278.86,283.58,272.71
281.5,261.66,283.1999,259.07
256.34,261.26,266.115,255.7501
265.24,267.27,272.38,260.72
267.34,265.07,271.5199,259.67
264.53,247.99,265.6899,246.24
247.66,241.2,248.42,239.06
244.96,235.0,245.97,231.72
229.73,215.18,230.38,213.2201
213.3,218.69,222.62,211.5901
221.0,230.22,231.45,220.46
226.58,225.31,227.88,218.82
230.14,223.87,232.2,222.47
215.14,213.09,223.7299,206.5
213.52,228.17,230.33,213.3
229.36,233.84,236.8,224.82
237.14,242.615,243.2599,234.69
242.2,237.56,244.09,234.15
234.77,242.91,243.77,231.32
243.85,239.92,246.65,237.0701
241.57,237.21,242.17,233.81
237.48,210.15,238.0,208.9
223.87,238.02,241.5499,223.01
233.9,230.35,240.6399,230.0
236.42,246.675,249.86,231.0
245.07,256.3,257.85,241.65
265.11,262.59,265.82,255.52
264.95,249.49,265.45,247.84
242.67,239.34,248.75,237.55
239.49,259.16,261.52,237.73
258.24,259.95,269.2499,256.0
267.05,256.22,267.25,253.53
251.08,243.59,252.3,239.8
247.28,243.72,251.82,242.02
243.19,239.72,246.35,236.32
239.48,244.58,250.77,237.8
252.42,257.94,258.17,245.5301
246.38,251.04,251.45,238.9001
244.86,231.82,245.09,230.52
228.4,220.122,228.58,212.96
219.44,235.68,239.95,216.75
227.72,232.4,240.57,223.0
223.24,225.46,229.43,220.0
233.72,223.3,233.8,208.88
233.74,235.07,248.23,232.63
241.5,253.04,255.7904,240.78
250.67,260.79,265.4317,250.52
259.03,262.6,266.38,257.7
269.42,263.0,271.969,262.1001
265.75,283.79,284.8,264.98
279.99,280.665,285.95,276.08
278.17,273.225,280.65,268.39
274.0,265.81,274.69,256.4384
272.47,281.41,284.22,270.57
281.78,276.4,284.3799,270.65
276.04,289.49,294.16,275.33
292.9,302.77,304.68,283.49
301.21,298.15,307.11,297.85
294.11,296.74,300.3,293.3057
295.86,298.27,304.57,295.4
300.01,302.725,305.48,293.66
303.22,313.12,313.3,300.1181
309.45,296.6,310.865,296.4
296.4,297.55,300.59,294.3101
294.0,288.91,295.55,284.49
290.75,283.74,291.2,274.01
277.19,273.05,281.44,271.45
278.01,279.85,289.22,277.6
283.87,311.52,311.6,280.93
304.59,284.0,305.0,278.38
283.37,276.99,286.78,272.5
281.61,302.49,302.94,281.16
301.98,311.5,313.05,298.61
304.9,317.34,322.05,304.28
318.26,319.99,322.9,314.2101
324.27,309.57,324.49,306.51
300.37,298.8,302.41,280.38
306.93,320.0,321.29,301.3
321.26,312.14,324.7799,310.25
314.35,332.1947,332.8934,313.8
326.76,331.69,333.53,318.6401
333.76,323.66,334.12,320.36
315.03,326.0,327.1,313.5
326.74,314.61,328.55,309.28
317.46,315.35,323.6,308.8
319.56,335.17,346.47,319.0
329.85,322.43,330.88,319.05
316.75,323.67,327.6,313.21
292.61,304.18,305.09,288.0
302.03,297.59,303.9,297.0587
300.25,305.52,306.44,292.47
303.9,300.1,306.8,296.3
303.9,304.68,305.9,297.7701
294.59,293.56,308.5,287.78
306.57,322.82,323.1,299.64
308.04,301.49,311.0,299.07
297.52,301.87,314.0,294.1
298.01,272.29,313.65,271.18
265.98,266.7,267.84,262.35
264.01,258.22,266.78,258.0
258.27,256.49,258.94,252.27
255.67,250.005,257.09,250.0
249.41,248.78,249.5,245.23
244.51,244.74,250.9,242.8201
247.17,239.89,252.59,239.24
231.66,229.73,233.5499,227.7
227.26,228.23,231.3,225.61
226.92,220.97,227.11,220.83
221.03,223.045,224.33,219.82
222.9,222.76,223.79,220.37
222.22,217.49,222.91,216.44
218.62,218.1,219.31,216.62
217.46,212.88,217.55,211.2201
209.39,209.18,209.9,207.13
206.71,208.275,210.57,205.28
206.95,205.75,210.63,205.11
208.31,211.01,212.06,207.75
210.75,210.92,213.22,209.72
207.0,201.2,207.2,200.8
204.51,199.5,206.48,198.54
197.32,205.04,205.4179,195.55
207.42,207.5,208.59,202.03
207.16,207.684,210.66,206.88
205.17,209.395,210.17,204.67
206.99,212.135,214.19,206.51
216.6,217.104,217.99,213.25
220.81,220.7,221.49,218.61
224.82,221.4,225.345,218.9
219.41,213.655,219.6,211.96
212.46,214.165,214.25,209.5
211.13,211.46,214.33,206.62
219.0,223.0,223.21,218.3
222.42,221.835,222.77,219.27
223.41,223.09,223.6699,219.66
222.42,222.75,224.1,220.86
221.52,226.84,229.64,218.58
224.78,223.483,226.26,222.7
221.77,223.12,225.38,221.31
223.39,225.13,226.1,219.77
226.62,228.33,228.99,225.224
228.43,223.25,229.86,222.0
223.96,225.18,225.9299,222.945
224.41,224.85,226.97,223.565
223.85,226.95,226.95,221.2
226.88,228.3,230.43,225.51
226.36,221.84,227.22,221.67
220.68,222.0,223.4,217.9
222.13,217.37,224.7,217.22
217.93,217.53,219.59,215.35
219.58,209.71,219.97,209.5
208.16,199.91,208.6506,199.33
197.98,194.94,204.95,187.62
190.4,195.0,196.3365,190.0
194.58,196.85,197.7,192.67
199.5,201.35,202.87,194.53
201.88,199.05,202.1381,198.51
199.05,198.7,200.2899,196.2
196.99,200.43,200.49,194.3
199.36,203.22,204.3,198.3454
202.95,204.46,205.0799,201.43
203.66,205.24,205.7,202.1
206.37,205.0,207.33,203.42
202.74,199.9,203.18,198.28
198.15,197.4,202.22,192.2
197.5,197.0,199.61,193.61
194.99,194.18,196.3,192.63
196.62,195.19,198.53,193.2803
195.03,193.192,196.46,189.95
192.08,192.65,196.22,187.41
192.94,193.11,194.42,189.14
195.58,196.564,197.0,192.5
195.94,196.42,198.87,192.76
194.1,188.82,195.27,187.42
186.12,187.3,188.38,181.64
187.7975,179.1525,190.42,178.655
181.61,190.305,191.5711,180.73
189.6625,198.1175,198.47,188.585
198.415,203.5775,204.1775,197.5275
202.5,204.005,204.6125,201.14
205.125,202.4,205.3275,201.8775
200.5025,199.625,200.8013,197.5425
199.0275,198.565,201.33,197.0075
203.7175,208.535,208.75,203.3205
206.985,207.375,208.42,203.5025
204.87,204.4013,205.0525,202.8775
202.12,201.25,204.56,200.19
200.025,199.9913,201.625,198.6375
200.2675,198.825,200.9875,196.5687
199.85,193.6125,200.7875,193.19
190.31,192.805,193.455,188.9437
192.055,192.2775,194.2,190.8825
190.5725,190.0775,191.5275,189.0775
188.8675,184.715,189.6375,183.8587
184.2725,184.3525,185.365,178.2265
186.3875,187.84,193.75,185.84
186.5725,177.7457,188.35,177.5625
178.1025,177.9075,179.5468,175.8442
177.885,179.15,180.1625,177.2795
180.1875,179.06,180.395,176.6275
178.2525,174.795,179.3922,174.4375
174.25,173.5,174.92,171.76
173.5825,175.1575,175.75,172.5575
174.57,175.2725,176.2159,172.51
176.19,175.7115,178.125,171.9275
175.7825,171.125,176.61,170.955
169.6975,167.0075,172.59,165.83
167.7825,162.5225,169.1887,162.355
162.645,162.7,163.8812,159.0325
162.445,155.01,162.7748,155.01
154.88,156.9975,157.5,154.6
157.0,157.3425,157.9375,155.8625
156.4775,157.66,158.185,154.825
156.12,152.125,157.45,151.76
149.9175,151.6375,152.22,148.6939
146.125,143.025,146.8379,142.705
140.6575,135.665,140.795,135.4325
140.1575,142.67,144.0425,140.04
141.655,141.57,141.6925,138.535
142.43,138.9,143.281,137.485
136.6525,140.3375,140.8075,134.59
137.585,140.095,142.6025,137.0925
143.0625,138.25,143.5475,137.5
142.6575,147.8725,148.06,142.5
148.1225,148.0825,149.7075,146.7171
145.23,144.9525,145.7125,142.1809
144.585,147.09,148.135,143.875
143.5125,146.3725,146.375,140.1025
148.3675,151.25,152.4675,147.875
150.095,151.745,153.65,149.97
153.2475,154.0,154.365,150.715
152.7675,153.645,155.3225,152.1552
153.8175,155.785,156.705,153.545
154.78,151.8505,154.79,151.25
152.6525,149.3438,153.3488,149.0025
148.5025,153.75,154.3857,147.835
153.605,151.1875,153.625,151.0225
151.7125,153.2325,154.97,149.63
153.6175,155.3654,158.075,152.33
159.125,160.531,161.6575,158.6525
161.3725,156.625,162.1415,156.315
152.77,156.25,157.2046,152.275
156.795,152.315,157.0,151.2575
152.09,142.8975,153.525,141.3925
144.0,142.14,144.08,141.75
143.17,142.5275,144.715,142.4894
141.435,138.8075,142.435,137.115
138.615,139.9968,140.5412,137.7362
139.875,138.675,140.1396,137.33
138.1175,135.7225,138.7,135.1125
133.4825,130.155,134.705,129.825
128.7175,128.4195,129.7525,127.05
129.4825,128.2025,130.625,127.0
128.3925,125.545,128.5625,123.735
125.3525,124.995,127.1475,122.72
126.43,131.5125,131.5913,126.3675
130.7075,132.5425,133.445,130.2125
131.8625,129.1275,133.945,129.0675
128.4575,127.5,129.215,126.125
127.225,131.365,131.84,127.1704
133.4125,130.3975,134.5325,129.895
132.9125,133.565,135.125,131.1675
131.9125,128.6475,132.0675,127.6713
128.56,126.4825,128.8875,125.9
129.935,129.5,130.4625,127.345
124.6825,128.405,129.8,124.575
125.2025,121.3025,126.1675,120.5925
115.9325,124.5,124.7125,115.665
124.615,125.5,125.5,116.7925
123.7025,128.0075,129.75,120.8375
128.0475,134.2625,134.515,127.9875
134.0625,139.0,139.205,133.96
138.4175,138.75,139.25,135.5325
137.145,137.525,138.545,133.61
133.075,140.4543,143.7475,132.1625
144.99,141.2275,145.0675,137.56
141.42,140.7525,142.3875,133.895
143.5575,147.7475,151.3325,143.25
149.265,150.245,151.77,148.467
148.29,147.29,148.7325,145.75
149.06,151.71,152.2352,147.8
153.3025,150.6425,153.725,149.5
149.6125,150.5,152.9114,147.75
152.5075,149.8025,152.7225,149.25
147.6425,144.6325,149.05,143.4137
142.6325,143.4063,145.8325,142.225
144.3875,137.2722,144.7375,137.2722
135.91,137.25,137.3725,135.4575
136.6425,135.31,136.735,133.3786
135.305,136.36,139.3175,135.165
135.5675,133.9875,135.72,132.855
132.37,130.5335,132.7075,129.0275
129.8975,130.75,133.3475,129.1151
130.51,129.9625,133.3975,129.605
129.1775,132.3,132.3275,127.9375
134.3525,135.8045,136.4475,133.875
136.5325,137.8175,138.285,132.3648
137.125,137.4009,138.4173,136.2725
138.675,134.186,139.9936,132.53
133.6575,131.1175,134.305,130.5675
130.2525,130.1625,130.9398,128.44
128.595,132.28,133.2525,128.485
